planId;week;phase;moistureTarget;moistureMinimum;moistureMaximum;brightnessTarget;brightnessMinimum;brightnessMaximum;lighthoursTarget;lighthoursMinimum;lighthoursMaximum;ecTarget;ecMinimum;ecMaximum;phTarget;phMinimum;phMaximum;temperatureTarget;temperatureMinimum;temperatureMaximum;humidityTarget;humidityMinimum;humidityMaximum;information
Tomato_pmio1;0;preseedling;50;5;5;3000;2000;5000;18;17;19;0,5;-0,05;0,05;5,8;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;1;seedling;50;5;5;7000;2000;5000;18;17;19;0,5;0,05;0,05;5,8;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;2;seedling;50;5;5;7000;2000;5000;18;17;19;0,5;0,05;0,05;5,8;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;3;growth;50;5;5;30000;2000;5000;18;17;19;0,6;0,05;0,05;5,9;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;4;growth;50;5;5;30000;2000;5000;18;17;19;0,7;0,05;0,05;6,0;-0,05;0,05;26;-3;3;50;-10;10;Main Lining Verschnitt 1
Tomato_pmio1;5;growth;50;5;5;30000;2000;5000;18;17;19;0,8;0,05;0,05;6,1;-0,05;0,05;26;-3;3;50;-10;10;Main Lining Verschnitt 2
Tomato_pmio1;6;growth;50;5;5;30000;2000;5000;18;17;19;0,8;0,05;0,05;6,1;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;7;growth;50;5;5;30000;2000;5000;18;17;19;0,8;0,05;0,05;6,1;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;8;flowering;50;5;5;45000;2000;5000;12;17;19;0,8;0,05;0,05;6,1;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;9;flowering;50;5;5;45000;2000;5000;12;17;19;0,9;0,05;0,05;6,1;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;10;flowering;50;5;5;45000;2000;5000;12;17;19;1,0;0,05;0,05;6,2;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;11;flowering;50;5;5;45000;2000;5000;12;17;19;1,1;0,05;0,05;6,2;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;12;flowering;50;5;5;45000;2000;5000;12;17;19;1,2;0,05;0,05;6,3;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;13;flowering;50;5;5;45000;2000;5000;12;17;19;1,3;0,05;0,05;6,3;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;14;flowering;50;5;5;45000;2000;5000;12;17;19;1,2;0,05;0,05;6,4;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;15;flowering;50;3;5;45000;2000;5000;12;17;19;1,2;0,05;0,05;6,5;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;16;flowering;45;5;3;45000;2000;5000;12;17;19;1,2;0,05;0,05;6,5;-0,05;0,05;26;-3;3;50;-10;10;-
Tomato_pmio1;17;flowering;45;5;3;45000;2000;5000;12;17;19;0,0;0,05;0,05;6,5;-0,05;0,05;26;-3;3;50;-10;10;-
